	leading razor protein	identifier	Cellular component (annotation)	Cellular component (ID)	source
1620	O43707	ACTN4~O43707	cortical actin cytoskeleton	GO:0030864	UniProt
1621	O43707	ACTN4~O43707	cytoplasm	GO:0005737	UniProt
1622	O43707	ACTN4~O43707	extracellular exosome	GO:0070062	UniProt
1623	O43707	ACTN4~O43707	extracellular region	GO:0005576	UniProt
1624	O43707	ACTN4~O43707	extracellular space	GO:0005615	UniProt
1625	O43707	ACTN4~O43707	focal adhesion	GO:0005925	UniProt
1626	O43707	ACTN4~O43707	nucleus	GO:0005634	UniProt
1627	O43707	ACTN4~O43707	perinuclear region of cytoplasm	GO:0048471	UniProt
1628	O43707	ACTN4~O43707	plasma membrane	GO:0005886	UniProt
1629	O43707	ACTN4~O43707	platelet alpha granule lumen	GO:0031093	UniProt
1630	O43707	ACTN4~O43707	protein-containing complex	GO:0032991	UniProt
1631	O43707	ACTN4~O43707	pseudopodium	GO:0031143	UniProt
1632	O43707	ACTN4~O43707	ribonucleoprotein complex	GO:1990904	UniProt
1633	O43707	ACTN4~O43707	stress fiber	GO:0001725	UniProt
1634	O43707	ACTN4~O43707	Z disc	GO:0030018	UniProt
1635	O43772	SLC25A20~O43772	cytosol	GO:0005829	UniProt
1636	O43772	SLC25A20~O43772	mitochondrial envelope	GO:0005740	UniProt
1637	O43772	SLC25A20~O43772	mitochondrial inner membrane	GO:0005743	UniProt
1638	O43772	SLC25A20~O43772	mitochondrion	GO:0005739	UniProt
1639	O43776	NARS1~O43776	cytoplasm	GO:0005737	UniProt
1640	O43776	NARS1~O43776	cytosol	GO:0005829	UniProt
1641	O43776	NARS1~O43776	extracellular exosome	GO:0070062	UniProt
1642	U3KPU7	SLC37A4~U3KPU7	endoplasmic reticulum membrane	GO:0005789	UniProt
1643	U3KPU7	SLC37A4~U3KPU7	plasma membrane	GO:0005886	UniProt
1644	O43847	NRDC~O43847	cell surface	GO:0009986	UniProt
1645	O43847	NRDC~O43847	cytosol	GO:0005829	UniProt
1646	O43847	NRDC~O43847	dendrite	GO:0030425	UniProt
1647	O43847	NRDC~O43847	mitochondrion	GO:0005739	UniProt
1648	O43847	NRDC~O43847	peroxisomal matrix	GO:0005782	UniProt
1649	O43852	CALU~O43852	endoplasmic reticulum	GO:0005783	UniProt
1650	O43852	CALU~O43852	endoplasmic reticulum lumen	GO:0005788	UniProt
1651	O43852	CALU~O43852	endoplasmic reticulum membrane	GO:0005789	UniProt
1652	O43852	CALU~O43852	extracellular region	GO:0005576	UniProt
1653	O43852	CALU~O43852	Golgi apparatus	GO:0005794	UniProt
1654	O43852	CALU~O43852	melanosome	GO:0042470	UniProt
1655	O43852	CALU~O43852	membrane	GO:0016020	UniProt
1656	O43852	CALU~O43852	sarcoplasmic reticulum lumen	GO:0033018	UniProt
1657	O43920	NDUFS5~O43920	mitochondrial inner membrane	GO:0005743	UniProt
1658	O43920	NDUFS5~O43920	mitochondrial intermembrane space	GO:0005758	UniProt
1659	O43920	NDUFS5~O43920	mitochondrial respiratory chain complex I	GO:0005747	UniProt
1660	O43920	NDUFS5~O43920	mitochondrion	GO:0005739	UniProt
1661	O60256	PRPSAP2~O60256	cytoplasm	GO:0005737	UniProt
1662	O60256	PRPSAP2~O60256	ribose phosphate diphosphokinase complex	GO:0002189	UniProt
1663	O60502	OGA~O60502	cytosol	GO:0005829	UniProt
1664	O60502	OGA~O60502	membrane	GO:0016020	UniProt
1665	O60502	OGA~O60502	nucleus	GO:0005634	UniProt
1666	O60551	NMT2~O60551	cytoplasm	GO:0005737	UniProt
1667	O60551	NMT2~O60551	cytosol	GO:0005829	UniProt
1668	O60551	NMT2~O60551	Golgi apparatus	GO:0005794	UniProt
1669	O60551	NMT2~O60551	host cell	GO:0043657	UniProt
1670	O60551	NMT2~O60551	plasma membrane	GO:0005886	UniProt
1671	O60568	PLOD3~O60568	collagen-containing extracellular matrix	GO:0062023	UniProt
1672	O60568	PLOD3~O60568	endoplasmic reticulum	GO:0005783	UniProt
1673	O60568	PLOD3~O60568	endoplasmic reticulum lumen	GO:0005788	UniProt
1674	O60568	PLOD3~O60568	endoplasmic reticulum membrane	GO:0005789	UniProt
1675	O60568	PLOD3~O60568	extracellular exosome	GO:0070062	UniProt
1676	O60568	PLOD3~O60568	extracellular space	GO:0005615	UniProt
1677	O60568	PLOD3~O60568	Golgi apparatus	GO:0005794	UniProt
1678	O60568	PLOD3~O60568	rough endoplasmic reticulum	GO:0005791	UniProt
1679	O60568	PLOD3~O60568	trans-Golgi network	GO:0005802	UniProt
1680	O60613	SELENOF~O60613	endoplasmic reticulum lumen	GO:0005788	UniProt
